FID,GEOID,PLNG_REGIO,PlanningRegion,LogRecNo,SumLevel,NAME,RenterOcc_e,RenterOcc_m,GrentLt500_e,GrentLt500_m,pGrentLt500_e,pGrentLt500_m,Grent500_999_e,Grent500_999_m,pGrent500_999_e,pGrent500_999_m,Grent1000_1499_e,Grent1000_1499_m,pGrent1000_1499_e,pGrent1000_1499_m,Grent1500_1999_e,Grent1500_1999_m,pGrent1500_1999_e,pGrent1500_1999_m,Grent2000_2499_e,Grent2000_2499_m,pGrent2000_2499_e,pGrent2000_2499_m,Grent2500_2999_e,Grent2500_2999_m,pGrent2500_2999_e,pGrent2500_2999_m,Grent3000P_e,Grent3000P_m,pGrent3000P_e,pGrent3000P_m,GrentLt200_e,GrentLt200_m,pGrentLt200_e,pGrentLt200_m,Grent200_500_e,Grent200_500_m,pGrent200_500_e,pGrent200_500_m,Grent500_750_e,Grent500_750_m,pGrent500_750_e,pGrent500_750_m,Grent750_1000_e,Grent750_1000_m,pGrent750_1000_e,pGrent750_1000_m,Grent1000_1500_e,Grent1000_1500_m,pGrent1000_1500_e,pGrent1000_1500_m,Grent1500_2000_e,Grent1500_2000_m,pGrent1500_2000_e,pGrent1500_2000_m,Grent2000P_e,Grent2000P_m,pGrent2000P_e,pGrent2000P_m,GrentLt750_e,GrentLt750_m,pGrentLt750_e,pGrentLt750_m,Grent1000P_e,Grent1000P_m,pGrent1000P_e,pGrent1000P_m,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
771,13135050731,Yes,Atlanta Regional Commission,2324,Tract,"Census Tract 507.31, Gwinnett County",445,198,0,60,0,13.5,52,65,11.7,13.7,318,181,71.5,25.4,75,63,16.9,12,0,20,0,4.5,0,20,0,4.5,0,28,0,6.4,0,35,0,7.8,0,49,0,11,0,45,0,10,52,48,11.7,9.3,318,181,71.5,25.4,75,63,16.9,12,0,40,0,9,0,75,0,16.8,393,193,88.3,18.2,,,,,0.182147579752897,0.00155281909028688
772,13135050609,Yes,Atlanta Regional Commission,2304,Tract,"Census Tract 506.09, Gwinnett County",498,165,75,103,15.1,20.1,22,63,4.4,12.7,97,69,19.5,12.3,212,131,42.6,22.2,49,44,9.8,8.2,28,56,5.6,11.1,15,30,3,5.9,0,35,0,7,75,97,15.1,18.9,0,45,0,9,22,45,4.4,8.9,97,69,19.5,12.3,212,131,42.6,22.2,92,77,18.5,14.2,75,112,15.1,22,358,154,71.9,19.9,,,,,0.309473592558188,0.00291829997767794
773,13135050610,Yes,Atlanta Regional Commission,2305,Tract,"Census Tract 506.10, Gwinnett County",389,189,0,60,0,16.5,0,57,0,15.6,26,46,7.2,12,145,96,39.9,16.6,121,119,33.3,27.9,71,80,19.6,19.6,0,28,0,7.8,0,35,0,9.5,0,49,0,13.5,0,45,0,12.3,0,35,0,9.5,26,46,7.2,12,145,96,39.9,16.6,192,146,52.9,29.6,0,75,0,20.6,292,160,80.4,14.7,,,,,0.250778559148867,0.00322850611797267
774,13135050541,Yes,Atlanta Regional Commission,2291,Tract,"Census Tract 505.41, Gwinnett County",1875,131,11,54,0.6,2.9,810,176,43.2,8.9,1024,180,54.6,8.8,30,35,1.6,1.9,0,18,0,1,0,18,0,1,0,25,0,1.4,0,31,0,1.7,11,44,0.6,2.3,160,82,8.5,4.4,650,155,34.7,7.9,1024,180,54.6,8.8,30,35,1.6,1.9,0,36,0,1.9,171,98,9.1,5.2,1054,184,56.2,9,,,,,0.0554662487767943,0.00012495266913839
775,13135050524,Yes,Atlanta Regional Commission,2274,Tract,"Census Tract 505.24, Gwinnett County",1087,158,0,54,0,5,351,119,32.5,9.9,615,153,56.9,11.5,114,77,10.6,7,0,18,0,1.7,0,18,0,1.7,0,25,0,2.4,0,31,0,2.9,0,44,0,4.1,133,82,12.3,7.3,218,86,20.2,7.4,615,153,56.9,11.5,114,77,10.6,7,0,36,0,3.3,133,98,12.3,8.9,729,172,67.5,12.5,,,,,0.0897144590952777,0.000335452822048436
776,13135050547,Yes,Atlanta Regional Commission,2297,Tract,"Census Tract 505.47, Gwinnett County",319,144,0,54,0,17.6,0,51,0,16.6,197,131,64.4,30.1,92,79,30.1,21.6,17,27,5.6,8.4,0,18,0,5.9,0,25,0,8.3,0,31,0,10.2,0,44,0,14.4,0,40,0,13.2,0,31,0,10.2,197,131,64.4,30.1,92,79,30.1,21.6,17,41,5.6,13.2,0,67,0,22,306,155,100,18.7,,,,,0.148226206245987,0.001021301646416
777,13135050523,Yes,Atlanta Regional Commission,2273,Tract,"Census Tract 505.23, Gwinnett County",1968,236,0,54,0,2.7,864,314,43.9,15,981,280,49.8,12.9,36,42,1.8,2.1,25,40,1.3,2,0,18,0,0.9,62,43,3.2,2.1,0,31,0,1.6,0,44,0,2.2,113,115,5.7,5.8,751,292,38.2,14.1,981,280,49.8,12.9,36,42,1.8,2.1,87,61,4.4,3.1,113,127,5.7,6.4,1042,286,52.9,13.1,,,,,0.127755619294805,0.000753711765782598
778,13135050724,Yes,Atlanta Regional Commission,2317,Tract,"Census Tract 507.24, Gwinnett County",1427,366,27,72,2,5.2,314,213,23,14.5,800,293,58.6,15.6,133,153,9.7,10.9,92,93,6.7,6.6,0,20,0,1.5,0,28,0,2.1,0,35,0,2.5,27,63,2,4.6,38,73,2.8,5.3,276,200,20.2,13.7,800,293,58.6,15.6,133,153,9.7,10.9,92,99,6.7,7.1,65,102,4.8,7.4,1025,344,75,16.6,,,,,0.257964041831333,0.00255509774225242
779,13135050543,Yes,Atlanta Regional Commission,2293,Tract,"Census Tract 505.43, Gwinnett County",449,164,11,55,2.4,12.1,92,77,20.5,15.4,268,123,59.7,16.5,63,79,14,16.8,0,18,0,4,15,26,3.3,5.7,0,25,0,5.7,0,31,0,6.9,11,45,2.4,10,29,49,6.5,10.6,63,59,14,12.2,268,123,59.7,16.5,63,79,14,16.8,15,41,3.3,9,40,73,8.9,16,331,147,73.7,18.6,,,,,0.117569807101224,0.000654040977556985
780,13135050545,Yes,Atlanta Regional Commission,2295,Tract,"Census Tract 505.45, Gwinnett County",1143,260,16,62,1.5,5.6,308,155,28,12.3,600,219,54.5,14.9,158,132,14.4,11.5,18,30,1.6,2.7,0,20,0,1.8,0,28,0,2.6,0,35,0,3.1,16,52,1.5,4.7,55,93,5,8.4,253,124,23,9.8,600,219,54.5,14.9,158,132,14.4,11.5,18,46,1.6,4.1,71,112,6.5,10.1,776,258,70.5,16,,,,,0.219099669892179,0.0013140983669405
781,13201950300,No,Southwest Georgia,2571,Tract,"Census Tract 9503, Miller County",304,112,38,50,15.6,19.3,151,93,62.1,26.8,47,46,19.3,16.8,7,11,2.9,4.3,0,13,0,5.3,0,13,0,5.3,0,18,0,7.6,0,23,0,9.3,38,45,15.6,17,131,88,53.9,27.4,20,30,8.2,11.9,47,46,19.3,16.8,7,11,2.9,4.3,0,26,0,10.7,169,102,69.5,28.2,54,49,22.2,17.6,,,,,0.842882095187694,0.0322759051464603
782,13201950200,No,Southwest Georgia,2570,Tract,"Census Tract 9502, Miller County",306,65,90,51,37.2,18,152,68,62.8,21.7,0,18,0,7.6,0,13,0,5.4,0,13,0,5.4,0,13,0,5.4,0,18,0,7.6,13,18,5.4,7.2,77,47,31.8,17.4,117,62,48.3,21.5,35,28,14.5,10.9,0,18,0,7.6,0,13,0,5.4,0,26,0,10.7,207,80,85.5,22.3,0,26,0,10.7,,,,,0.497483005851951,0.0104685072520112
783,13201950100,No,Southwest Georgia,2569,Tract,"Census Tract 9501, Miller County",181,77,8,39,4.7,22.8,159,83,93.5,25.9,3,14,1.8,8.4,0,13,0,7.6,0,13,0,7.6,0,13,0,7.6,0,18,0,10.8,0,23,0,13.2,8,32,4.7,18.6,111,73,65.3,31.9,48,39,28.2,19.2,3,14,1.8,8.4,0,13,0,7.6,0,26,0,15.3,119,83,70,37.7,3,23,1.8,13.7,,,,,0.715475648783671,0.0267580707753698
784,13311950201,No,Georgia Mountains,2971,Tract,"Census Tract 9502.01, White County",1096,343,128,114,12.4,10.3,713,262,69.2,12.8,189,154,18.3,13.8,0,18,0,1.7,0,18,0,1.7,0,18,0,1.7,0,25,0,2.5,33,55,3.2,5.3,95,99,9.2,9.2,518,224,50.3,14.7,195,136,18.9,11.8,189,154,18.3,13.8,0,18,0,1.7,0,36,0,3.5,646,251,62.7,14,189,156,18.3,14,,,,,0.640487853755102,0.00936541169107368
785,13311950203,No,Georgia Mountains,2973,Tract,"Census Tract 9502.03, White County",360,174,0,54,0,16.1,259,165,77.1,29.9,68,69,20.2,17.9,0,18,0,5.4,9,22,2.7,6.4,0,18,0,5.4,0,25,0,7.6,0,31,0,9.3,0,44,0,13.1,168,137,50,32.2,91,91,27.1,23.5,68,69,20.2,17.9,0,18,0,5.4,9,38,2.7,11.3,168,148,50,36,77,75,22.9,19.1,,,,,0.592165772940152,0.0151360046127485
786,13311950202,No,Georgia Mountains,2972,Tract,"Census Tract 9502.02, White County",334,116,42,61,13.3,18.8,173,80,54.9,15.3,100,71,31.7,19.2,0,13,0,4.1,0,13,0,4.1,0,13,0,4.1,0,18,0,5.8,0,23,0,7.1,42,57,13.3,17.4,58,51,18.4,14.7,115,61,36.5,14.1,100,71,31.7,19.2,0,13,0,4.1,0,26,0,8.3,100,80,31.7,22.4,100,73,31.7,20.1,,,,,0.442049286876917,0.00637913085629719
787,13311950300,No,Georgia Mountains,2974,Tract,"Census Tract 9503, White County",997,268,37,77,4.8,9.8,638,227,82.2,13.3,101,81,13,9.6,0,18,0,2.3,0,18,0,2.3,0,18,0,2.3,0,25,0,3.3,0,31,0,4,37,71,4.8,9,336,157,43.3,14.8,302,164,38.9,17.2,101,81,13,9.6,0,18,0,2.3,0,36,0,4.6,373,175,48.1,16.6,101,85,13,10.2,,,,,0.52061989019642,0.0108804573417722
788,13311950100,No,Georgia Mountains,2970,Tract,"Census Tract 9501, White County",236,88,19,30,9.5,14.4,51,45,25.5,20,130,66,65,21,0,13,0,6.5,0,13,0,6.5,0,13,0,6.5,0,18,0,9.2,5,14,2.5,7,14,26,7,12.7,18,25,9,11.9,33,37,16.5,17.5,130,66,65,21,0,13,0,6.5,0,26,0,13,37,39,18.5,17.9,130,68,65,22.9,,,,,0.67755397737435,0.0199198683061848
789,13135050727,Yes,Atlanta Regional Commission,2320,Tract,"Census Tract 507.27, Gwinnett County",336,179,0,60,0,21.7,5,54,1.8,19.4,206,148,74.6,28.1,51,50,18.5,14.1,14,23,5.1,7.7,0,20,0,7.2,0,28,0,10.2,0,35,0,12.6,0,49,0,17.7,5,41,1.8,14.7,0,35,0,12.6,206,148,74.6,28.1,51,50,18.5,14.1,14,42,5.1,14.7,5,73,1.8,26.3,271,158,98.2,83,,,,,0.194377062631272,0.00164250571891869
790,13135050548,Yes,Atlanta Regional Commission,2298,Tract,"Census Tract 505.48, Gwinnett County",379,114,0,60,0,15.8,32,60,8.4,15.7,161,86,42.5,18.7,186,95,49.1,20.3,0,20,0,5.3,0,20,0,5.3,0,28,0,7.5,0,35,0,9.1,0,49,0,12.9,0,45,0,11.8,32,40,8.4,10.3,161,86,42.5,18.7,186,95,49.1,20.3,0,40,0,10.6,0,75,0,19.7,347,130,91.6,20.3,,,,,0.231749845916711,0.00196192979110119
791,13135050546,Yes,Atlanta Regional Commission,2296,Tract,"Census Tract 505.46, Gwinnett County",465,204,0,60,0,13.8,59,91,13.6,19.9,159,123,36.6,22.6,191,145,43.9,26.5,26,42,6,9.3,0,20,0,4.6,0,28,0,6.5,0,35,0,8,0,49,0,11.3,0,45,0,10.3,59,79,13.6,17.1,159,123,36.6,22.6,191,145,43.9,26.5,26,54,6,12.2,0,75,0,17.2,376,194,86.4,20.5,,,,,0.247968330448536,0.00202714319914597
792,13135050726,Yes,Atlanta Regional Commission,2319,Tract,"Census Tract 507.26, Gwinnett County",428,173,0,54,0,12.6,0,51,0,11.9,233,157,54.4,29.4,148,100,34.6,18.7,47,64,11,14.3,0,18,0,4.2,0,25,0,5.9,0,31,0,7.3,0,44,0,10.3,0,40,0,9.4,0,31,0,7.3,233,157,54.4,29.4,148,100,34.6,18.7,47,71,11,16,0,67,0,15.7,428,197,100,21.9,,,,,0.325328013655566,0.00309868310456759
793,13135050608,Yes,Atlanta Regional Commission,2303,Tract,"Census Tract 506.08, Gwinnett County",762,252,42,93,6,13.1,77,100,10.9,13.6,207,143,29.4,17.5,354,181,50.2,19,0,20,0,2.8,25,41,3.5,5.7,0,28,0,4,0,35,0,4.9,42,86,6,12.1,0,45,0,6.3,77,89,10.9,12.1,207,143,29.4,17.5,354,181,50.2,19,25,54,3.5,7.5,42,103,6,14.5,561,231,79.6,18,,,,,0.450419199908825,0.00841221271606691
794,13135050607,Yes,Atlanta Regional Commission,2302,Tract,"Census Tract 506.07, Gwinnett County",902,309,0,60,0,7,68,93,7.9,10.5,221,168,25.7,17.4,496,237,57.7,18.7,75,95,8.7,10.6,0,20,0,2.3,0,28,0,3.3,0,35,0,4,0,49,0,5.7,0,45,0,5.2,68,82,7.9,9.1,221,168,25.7,17.4,496,237,57.7,18.7,75,101,8.7,11.4,0,75,0,8.7,792,306,92.1,14.8,,,,,0.238390080664106,0.00272800044536265
795,13135050542,Yes,Atlanta Regional Commission,2292,Tract,"Census Tract 505.42, Gwinnett County",2076,102,0,54,0,2.6,651,203,31.4,9.7,1291,257,62.2,12,134,60,6.5,2.9,0,18,0,0.9,0,18,0,0.9,0,25,0,1.2,0,31,0,1.5,0,44,0,2.1,192,126,9.2,6.1,459,159,22.1,7.6,1291,257,62.2,12,134,60,6.5,2.9,0,36,0,1.7,192,137,9.2,6.6,1425,265,68.6,12.3,,,,,0.102330285190667,0.000360115496960889
796,13135050536,Yes,Atlanta Regional Commission,2286,Tract,"Census Tract 505.36, Gwinnett County",458,121,0,54,0,11.8,125,87,27.3,17.7,315,117,68.8,18.1,18,30,3.9,6.5,0,18,0,3.9,0,18,0,3.9,0,25,0,5.6,0,31,0,6.8,0,44,0,9.6,46,54,10,11.5,79,69,17.2,14.3,315,117,68.8,18.1,18,30,3.9,6.5,0,36,0,7.9,46,76,10,16.5,333,123,72.7,18.6,,,,,0.136307357095989,0.000747467740379683
797,13135050537,Yes,Atlanta Regional Commission,2287,Tract,"Census Tract 505.37, Gwinnett County",1567,101,19,59,1.2,3.8,577,133,37.1,8.2,896,158,57.5,9.5,65,47,4.2,3,0,18,0,1.2,0,18,0,1.2,0,25,0,1.6,0,31,0,2,19,50,1.2,3.2,18,37,1.2,2.4,559,128,35.9,7.9,896,158,57.5,9.5,65,47,4.2,3,0,36,0,2.3,37,69,2.4,4.5,961,166,61.7,9.9,,,,,0.0835762283258854,0.000347508439154059
798,13135050539,Yes,Atlanta Regional Commission,2289,Tract,"Census Tract 505.39, Gwinnett County",973,136,9,53,0.9,5.5,257,98,27,9.5,623,154,65.5,13.2,62,41,6.5,4.2,0,18,0,1.9,0,18,0,1.9,0,25,0,2.7,9,29,0.9,3,0,44,0,4.6,31,49,3.3,5.1,226,85,23.8,8.3,623,154,65.5,13.2,62,41,6.5,4.2,0,36,0,3.8,40,72,4.2,7.5,685,160,72,13.3,,,,,0.0673106385067396,0.000227671415301199
799,13135050544,Yes,Atlanta Regional Commission,2294,Tract,"Census Tract 505.44, Gwinnett County",603,218,0,60,0,10.3,109,94,18.7,14.5,238,155,40.8,21.9,180,103,30.8,13.5,57,90,9.8,15,0,20,0,3.4,0,28,0,4.8,0,35,0,5.9,0,49,0,8.4,20,51,3.4,8.7,89,79,15.2,12.2,238,155,40.8,21.9,180,103,30.8,13.5,57,96,9.8,16.1,20,79,3.4,13.4,475,207,81.3,18.9,,,,,0.158454743168537,0.000978814019615215
800,13135050535,Yes,Atlanta Regional Commission,2285,Tract,"Census Tract 505.35, Gwinnett County",357,145,0,54,0,15.1,14,53,3.9,14.9,283,161,79.3,31.6,60,60,16.8,15.4,0,18,0,5,0,18,0,5,0,25,0,7.1,0,31,0,8.7,0,44,0,12.4,0,40,0,11.3,14,35,3.9,9.7,283,161,79.3,31.6,60,60,16.8,15.4,0,36,0,10.1,0,67,0,18.9,343,173,96.1,28.6,,,,,0.133108250314836,0.000635601597455524
801,13135050532,Yes,Atlanta Regional Commission,2282,Tract,"Census Tract 505.32, Gwinnett County",811,215,0,54,0,6.7,174,99,21.5,10.8,447,195,55.1,19.1,190,122,23.4,13.7,0,18,0,2.2,0,18,0,2.2,0,25,0,3.1,0,31,0,3.8,0,44,0,5.4,26,46,3.2,5.6,148,88,18.2,9.7,447,195,55.1,19.1,190,122,23.4,13.7,0,36,0,4.4,26,71,3.2,8.7,637,231,78.5,19.4,,,,,0.111893779851393,0.000564379257012575
802,13135050534,Yes,Atlanta Regional Commission,2284,Tract,"Census Tract 505.34, Gwinnett County",1024,193,0,54,0,5.3,105,93,10.3,8.9,864,231,84.4,16,55,50,5.4,4.8,0,18,0,1.8,0,18,0,1.8,0,25,0,2.5,0,31,0,3,0,44,0,4.3,0,40,0,3.9,105,84,10.3,7.9,864,231,84.4,16,55,50,5.4,4.8,0,36,0,3.5,0,67,0,6.6,919,237,89.7,15.8,,,,,0.0960269840428595,0.000443219554229647
803,13135050723,Yes,Atlanta Regional Commission,2316,Tract,"Census Tract 507.23, Gwinnett County",518,155,177,153,36.1,28.8,19,55,3.9,11.1,148,103,30.2,18.3,120,105,24.5,19.8,26,46,5.3,9.2,0,18,0,3.7,0,25,0,5.2,31,56,6.3,11.3,146,142,29.8,27.3,0,40,0,8.2,19,37,3.9,7.5,148,103,30.2,18.3,120,105,24.5,19.8,26,56,5.3,11.2,177,158,36.1,29.9,294,154,60,24,,,,,0.188411493623464,0.000915040781747927
804,13135050435,Yes,Atlanta Regional Commission,2267,Tract,"Census Tract 504.35, Gwinnett County",581,111,14,43,2.6,7.9,324,127,60,20.5,135,73,25,12.6,67,58,12.4,10.5,0,13,0,2.4,0,13,0,2.4,0,18,0,3.4,0,23,0,4.2,14,36,2.6,6.7,118,63,21.9,10.9,206,110,38.1,19,135,73,25,12.6,67,58,12.4,10.5,0,26,0,4.8,132,76,24.4,13.3,202,94,37.4,15.8,,,,,0.0955359266052025,0.000414601637640345
805,13135050531,Yes,Atlanta Regional Commission,2281,Tract,"Census Tract 505.31, Gwinnett County",618,193,0,54,0,8.7,65,88,10.5,13.9,407,199,65.9,24.7,123,101,19.9,15.1,23,35,3.7,5.5,0,18,0,2.9,0,25,0,4.1,0,31,0,5,0,44,0,7.1,5,39,0.8,6.3,60,79,9.7,12.4,407,199,65.9,24.7,123,101,19.9,15.1,23,47,3.7,7.5,5,67,0.8,10.8,553,226,89.5,23.5,,,,,0.128336730513659,0.000727166684351124
806,13199970800,No,Three Rivers,2568,Tract,"Census Tract 9708, Meriwether County",610,150,116,55,27.2,10.4,214,71,50.2,8.9,94,70,22.1,15.3,2,4,0.5,0.9,0,13,0,3.1,0,13,0,3.1,0,18,0,4.3,31,34,7.3,7.7,85,43,20,8.5,132,58,31,10.5,82,41,19.2,7.9,94,70,22.1,15.3,2,4,0.5,0.9,0,26,0,6.1,248,80,58.2,9.2,96,72,22.5,15.6,,,,,1.05850960807614,0.0393134958633703
807,13199970700,No,Three Rivers,2567,Tract,"Census Tract 9707, Meriwether County",620,191,65,87,12.2,15.9,349,156,65.6,20.5,118,84,22.2,14.2,0,18,0,3.4,0,18,0,3.4,0,18,0,3.4,0,25,0,4.8,0,31,0,5.9,65,81,12.2,14.7,174,104,32.7,16.4,175,117,32.9,19.3,118,84,22.2,14.2,0,18,0,3.4,0,36,0,6.8,239,135,44.9,21,118,88,22.2,15,,,,,1.27730407388619,0.0502247765371445
808,13199970600,No,Three Rivers,2566,Tract,"Census Tract 9706, Meriwether County",500,128,89,70,20.8,15.4,285,98,66.6,14.1,54,51,12.6,11.3,0,13,0,3,0,13,0,3,0,13,0,3,0,18,0,4.3,30,47,7,10.8,59,53,13.8,11.7,114,56,26.6,10.8,171,81,40,15.5,54,51,12.6,11.3,0,13,0,3,0,26,0,6.1,203,90,47.4,16.5,54,54,12.6,12.1,,,,,0.757634216823168,0.0222715892659089
809,13199970500,No,Three Rivers,2565,Tract,"Census Tract 9705, Meriwether County",845,218,110,107,15.2,14.2,458,204,63.1,23.2,158,90,21.8,11.1,0,18,0,2.5,0,18,0,2.5,0,18,0,2.5,0,25,0,3.5,0,31,0,4.3,110,102,15.2,13.6,260,157,35.8,19.7,198,130,27.3,16.6,158,90,21.8,11.1,0,18,0,2.5,0,36,0,5,370,190,51,22.8,158,93,21.8,11.6,,,,,0.660600940906245,0.0145451774084086
810,13205090200,No,Southwest Georgia,2573,Tract,"Census Tract 902, Mitchell County",349,103,118,78,39.5,23,151,74,50.5,18.9,30,41,10,13.4,0,13,0,4.3,0,13,0,4.3,0,13,0,4.3,0,18,0,6.1,19,36,6.4,11.9,99,70,33.1,20.8,77,53,25.8,15.6,74,52,24.7,15.5,30,41,10,13.4,0,13,0,4.3,0,26,0,8.7,195,94,65.2,23.9,30,45,10,14.7,,,,,0.90495858585861,0.0300968795841744
811,13205090400,No,Southwest Georgia,2575,Tract,"Census Tract 904, Mitchell County",651,220,76,95,15.2,18,411,171,82,14.1,14,30,2.8,5.9,0,18,0,3.6,0,18,0,3.6,0,18,0,3.6,0,25,0,5.1,0,31,0,6.2,76,90,15.2,16.9,269,141,53.7,19.4,142,97,28.3,16.1,14,30,2.8,5.9,0,18,0,3.6,0,36,0,7.2,345,170,68.9,21.6,14,39,2.8,7.8,,,,,1.14714060826965,0.0234695495123762
812,13205090300,No,Southwest Georgia,2574,Tract,"Census Tract 903, Mitchell County",518,94,161,77,37.3,15.9,261,92,60.4,17,10,17,2.3,3.9,0,13,0,3,0,13,0,3,0,13,0,3,0,18,0,4.3,0,23,0,5.2,161,74,37.3,15,245,90,56.7,16.8,16,22,3.7,4.9,10,17,2.3,3.9,0,13,0,3,0,26,0,6,406,118,94,18.4,10,25,2.3,5.8,,,,,0.622868163367668,0.0130762623029612
813,13205090500,No,Southwest Georgia,2576,Tract,"Census Tract 905, Mitchell County",883,167,261,139,33.2,16.3,464,168,59.1,17.7,60,72,7.6,9.1,0,18,0,2.3,0,18,0,2.3,0,18,0,2.3,0,25,0,3.2,0,31,0,4,261,135,33.2,15.8,180,110,22.9,13.2,284,127,36.2,14.4,60,72,7.6,9.1,0,18,0,2.3,0,36,0,4.6,441,177,56.2,19.4,60,77,7.6,9.6,,,,,1.21246286606444,0.0380264338484888
814,13205090100,No,Southwest Georgia,2572,Tract,"Census Tract 901, Mitchell County",323,81,78,57,34.8,22.5,132,64,58.9,20.3,14,19,6.3,8.3,0,13,0,5.8,0,13,0,5.8,0,13,0,5.8,0,18,0,8.2,0,23,0,10.1,78,52,34.8,20.1,92,57,41.1,21.3,40,29,17.9,11.4,14,19,6.3,8.3,0,13,0,5.8,0,26,0,11.6,170,81,75.9,24.9,14,27,6.3,11.6,,,,,0.756141993596681,0.0213071005677875
815,13135050533,Yes,Atlanta Regional Commission,2283,Tract,"Census Tract 505.33, Gwinnett County",737,265,0,54,0,7.7,263,190,37.4,23.2,278,183,39.5,21.4,150,140,21.3,18.3,12,20,1.7,2.8,0,18,0,2.6,0,25,0,3.6,0,31,0,4.4,0,44,0,6.3,41,56,5.8,7.7,222,182,31.6,23.1,278,183,39.5,21.4,150,140,21.3,18.3,12,37,1.7,5.2,41,78,5.8,10.9,440,231,62.6,23.2,,,,,0.11856508736665,0.000638856496331506
816,13135050436,Yes,Atlanta Regional Commission,2268,Tract,"Census Tract 504.36, Gwinnett County",1414,191,133,75,9.4,5.2,563,223,39.8,14.8,616,217,43.6,14.1,82,71,5.8,5,20,33,1.4,2.3,0,18,0,1.3,0,25,0,1.8,0,31,0,2.2,133,68,9.4,4.7,128,119,9.1,8.4,435,188,30.8,12.6,616,217,43.6,14.1,82,71,5.8,5,20,45,1.4,3.2,261,141,18.5,9.7,718,230,50.8,14.8,,,,,0.132098565952834,0.000545472161015406
817,13135050433,Yes,Atlanta Regional Commission,2265,Tract,"Census Tract 504.33, Gwinnett County",637,54,0,39,0,6.2,373,95,59.2,14.3,215,65,34.1,10,42,34,6.7,5.4,0,13,0,2.1,0,13,0,2.1,0,18,0,2.9,0,23,0,3.6,0,32,0,5.1,63,52,10,8.2,310,80,49.2,12,215,65,34.1,10,42,34,6.7,5.4,0,26,0,4.1,63,65,10,10.3,257,75,40.8,11.4,,,,,0.0461524123544971,0.000122406073032583
818,13135050432,Yes,Atlanta Regional Commission,2264,Tract,"Census Tract 504.32, Gwinnett County",508,110,0,54,0,11,25,50,5.1,10.1,302,96,61.6,14.2,163,73,33.3,13,0,18,0,3.7,0,18,0,3.7,0,25,0,5.2,0,31,0,6.4,0,44,0,9,16,41,3.3,8.3,9,29,1.8,5.9,302,96,61.6,14.2,163,73,33.3,13,0,36,0,7.3,16,68,3.3,13.8,465,122,94.9,13.9,,,,,0.104966695730188,0.000561063818153567
819,13135050434,Yes,Atlanta Regional Commission,2266,Tract,"Census Tract 504.34, Gwinnett County",1936,195,0,54,0,2.8,1118,322,58.1,15.7,771,250,40.1,12.3,35,51,1.8,2.6,0,18,0,0.9,0,18,0,0.9,0,25,0,1.3,0,31,0,1.6,0,44,0,2.3,110,108,5.7,5.6,1008,304,52.4,14.9,771,250,40.1,12.3,35,51,1.8,2.6,0,36,0,1.9,110,120,5.7,6.2,806,255,41.9,12.6,,,,,0.0736224006565045,0.00022899899611264
820,13135050321,Yes,Atlanta Regional Commission,2245,Tract,"Census Tract 503.21, Gwinnett County",81,44,0,39,0,54.2,0,37,0,51.1,17,18,23.6,21.5,0,13,0,18.1,15,18,20.8,21.8,28,28,38.9,31.6,12,21,16.7,28.1,0,23,0,31.3,0,32,0,44.2,0,29,0,40.4,0,23,0,31.3,17,18,23.6,21.5,0,13,0,18.1,55,40,76.4,32.2,0,49,0,67.6,32,29,44.4,30.5,,,,,0.115296671143969,0.000511618851852993
821,13217100903,Yes,Northeast Georgia,2663,Tract,"Census Tract 1009.03, Newton County",706,201,0,54,0,8.6,113,92,18.1,13.8,408,189,65.3,23.7,82,68,13.1,10.2,22,35,3.5,5.5,0,18,0,2.9,0,25,0,4.1,0,31,0,5,0,44,0,7.1,93,83,14.9,12.6,20,41,3.2,6.5,408,189,65.3,23.7,82,68,13.1,10.2,22,47,3.5,7.4,93,99,14.9,15.2,512,204,81.9,22.6,,,,,0.29158280681784,0.00167701295451462
822,13217100902,Yes,Northeast Georgia,2662,Tract,"Census Tract 1009.02, Newton County",445,141,0,54,0,12.9,145,90,34.7,18.1,273,123,65.3,19.8,0,18,0,4.3,0,18,0,4.3,0,18,0,4.3,0,25,0,6.1,0,31,0,7.5,0,44,0,10.5,78,73,18.7,16.4,67,51,16,11.1,273,123,65.3,19.8,0,18,0,4.3,0,36,0,8.6,78,91,18.7,20.9,273,126,65.3,20.8,,,,,0.167591119502756,0.00125294608994115
823,13217100901,Yes,Northeast Georgia,2661,Tract,"Census Tract 1009.01, Newton County",634,219,32,77,5.2,12.4,69,84,11.3,13.2,426,195,69.5,20.1,86,96,14,14.8,0,20,0,3.3,0,20,0,3.3,0,28,0,4.6,0,35,0,5.7,32,69,5.2,11,13,46,2.1,7.4,56,71,9.1,11.1,426,195,69.5,20.1,86,96,14,14.8,0,40,0,6.5,45,89,7.3,14.3,512,218,83.5,19.7,,,,,0.431576011851551,0.00617432074661709
